Date,Close,High,Low,Open,Volume,Fraud_Prediction
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2024-05-27,3773.235595703125,3833.359462905497,3767.6450111298777,3781.0330088807773,1841538,1
2024-05-28,3766.22265625,3795.7452148143816,3756.5127061341295,3783.975462210306,1801993,1
2024-05-29,3730.66845703125,3775.050235589956,3727.0885861454776,3775.050235589956,1568095,1
2024-05-30,3664.41455078125,3721.595741600682,3644.160624153166,3704.529695813898,2919230,1
2024-05-31,3600.514404296875,3677.851583002053,3583.644473414878,3668.239570460936,10956800,1
2024-06-03,3631.80224609375,3679.5677746423194,3625.083583604637,3661.1775373066625,2156773,1
2024-06-04,3643.71923828125,3673.143619747855,3522.5888679103928,3629.0070475479474,3395997,1
2024-06-05,3674.56591796875,3711.1993703487906,3629.0072131436405,3644.700217308586,2799670,1
2024-06-06,3756.90478515625,3766.222505595086,3669.710633884787,3708.4527346567897,4328036,1
2024-06-07,3819.23583984375,3839.8819965542752,3763.6728921767453,3763.6728921767453,4552445,1
2024-06-10,3784.661865234375,3830.956176142604,3768.1841642111144,3820.265413643011,1734661,1
2024-06-11,3778.188720703125,3805.5042108924868,3767.3016038836363,3771.2248547077797,1419898,1
2024-06-12,3758.130859375,3818.7942202199274,3754.0114939556183,3800.060602001018,2177001,1
2024-06-13,3803.73876953125,3815.361496092327,3778.090612582942,3782.798561549058,1932323,1
2024-06-14,3758.5234375,3814.3806741009234,3754.5510980864838,3814.3806741009234,1860730,1
2024-06-18,3741.898681640625,3768.282447869505,3722.2333388301226,3752.638532969622,1774045,1
2024-06-19,3728.755615234375,3760.2888873952325,3720.1735040598087,3754.2076570551294,1509050,1
2024-06-20,3714.5830078125,3736.8474088689977,3707.521204055123,3723.165119191036,2846526,1
2024-06-21,3737.632080078125,3803.395620974485,3725.1758064009155,3753.5702868094163,4642195,1
2024-06-24,3743.566162109375,3782.994786873642,3718.5554369174442,3735.6705715594985,1702154,1
2024-06-25,3764.800537109375,3773.823966241929,3720.1244698231185,3743.7621521570873,1338808,1
2024-06-26,3781.866943359375,3792.753821226435,3767.3017782182387,3770.7346228482215,1639845,1
2024-06-27,3858.664306640625,3866.363782355002,3744.841180868651,3757.493569305432,4526556,1
2024-06-28,3829.239990234375,3884.0184779341994,3823.06106149356,3842.6282279040265,2731571,1
2024-07-01,3901.869140625,3924.918239697478,3809.476629681037,3809.476629681037,2658723,1
2024-07-02,3940.31689453125,3946.20177080493,3906.135715182029,3916.973743543969,2307449,1
2024-07-03,3889.167724609375,3948.8502757332676,3879.1143940054417,3942.867222225506,1821198,1
2024-07-04,3943.798828125,3969.6924274066973,3905.6943979211133,3923.103823566617,2518001,1
2024-07-05,3934.82470703125,3949.487810008475,3911.481315282498,3933.0591961591817,1668616,1
2024-07-08,3916.5810546875,3953.901024183752,3901.7218387139837,3944.8285071050045,1758882,1
2024-07-09,3909.029052734375,3930.0674374566415,3898.8286963406176,3908.5386463797477,1305801,1
2024-07-10,3834.14404296875,3926.487706503185,3827.13132763065,3907.263680935565,2669716,1
2024-07-11,3848.414794921875,3903.634598566715,3820.854101354475,3855.574775619537,4872189,1
2024-07-12,4103.67138671875,4119.364389532469,3895.1014275239318,3903.6344499126476,13509164,1
2024-07-15,4089.205078125,4158.646435530645,4077.287819006377,4154.429131889809,4848030,1
2024-07-16,4098.27734375,4114.068046345619,4065.3707877010006,4091.95090976698,2029521,1
2024-07-18,4232.74609375,4242.014965412821,4080.180868466435,4080.180868466435,5613364,1
2024-07-19,4229.6494140625,4285.046672091509,4212.789504234044,4244.395774849738,3903354,1
2024-07-22,4214.85400390625,4246.902856695131,4192.881830781028,4227.24104271726,1896386,1
2024-07-23,4229.6005859375,4287.947117977994,4194.159876371138,4210.577683912533,2365208,1
2024-07-24,4233.4345703125,4265.729197669507,4195.929753955791,4215.00161862754,1809793,1
2024-07-25,4249.4091796875,4269.562537277689,4201.926095033671,4222.374187798222,2810342,1
2024-07-26,4313.65478515625,4347.669820651988,4263.71348771561,4276.444704766146,3552210,1
2024-07-29,4307.01904296875,4356.075176096543,4297.0897302455405,4340.345723869609,1746803,1
2024-07-30,4291.53564453125,4323.6334640793075,4254.128750489024,4316.850233367094,1797906,1
2024-07-31,4311.19677734375,4339.36222911044,4271.52897269707,4276.444426060357,2330091,1
2024-08-01,4322.748046875,4344.572371561555,4291.239703135842,4325.008963388223,2202244,1
2024-08-02,4210.6259765625,4323.63243235109,4197.796836320862,4291.1904427495465,2811282,1
2024-08-05,4084.790771484375,4167.321426758338,4040.9942733404455,4167.321426758338,2787771,1
2024-08-06,4100.66845703125,4186.246317493068,4090.443928890724,4100.422684336041,2203067,1
2024-08-07,4129.42333984375,4173.170874055229,4109.613679096742,4156.507295418715,1237666,1
2024-08-08,4101.9951171875,4160.440054288972,4089.6575202840554,4110.30242603549,2441283,1
2024-08-09,4157.24462890625,4181.723490337842,4134.43673358199,4145.693313650052,1302536,1
2024-08-12,4124.70458984375,4167.321669660878,4115.562037921638,4158.473852952468,936912,1
2024-08-13,4125.982421875,4162.4057377974195,4112.26811554242,4141.760834515949,1495593,1
2024-08-14,4222.62060546875,4233.385641348028,4117.33148860454,4137.829027045683,3226545,1
2024-08-16,4341.37744140625,4352.14247645142,4251.965631333624,4276.444493463673,3457058,1
2024-08-19,4414.0771484375,4418.255283822992,4316.112258286147,4346.243891590688,2055210,1
2024-08-20,4446.81396484375,4487.809038984132,4423.908143576909,4428.823597069772,2212298,1
2024-08-21,4474.53759765625,4482.893869122817,4416.584205298795,4441.60405717037,1896990,1
2024-08-22,4425.87451171875,4483.827902854787,4421.155868176405,4482.893774641826,1829872,1
2024-08-23,4388.41845703125,4429.806671292171,4379.669045851447,4423.908127122674,1809253,1
2024-08-26,4426.3173828125,4475.176707760089,4409.162256271487,4413.094619487783,1844164,1
2024-08-27,4421.1064453125,4433.739257383393,4410.931360102684,4428.823803661238,930697,1
2024-08-28,4429.85595703125,4485.351622818282,4381.930282157301,4422.679586444656,1848058,1
2024-08-29,4435.5087890625,4478.961593547129,4384.584878669929,4384.584878669929,2133641,1
2024-08-30,4476.7490234375,4514.5980132595905,4411.91400340769,4423.9079012832835,3637222,1
2024-09-02,4444.60205078125,4510.42016565307,4435.705271888983,4498.623077164004,1216500,1
2024-09-03,4436.04931640625,4478.862723418696,4419.877282744973,4444.601917289093,1717263,1
2024-09-04,4403.5087890625,4411.127741591436,4361.678473961914,4401.247872579934,1265505,1
2024-09-05,4400.26513671875,4422.925185992935,4378.833470829995,4405.229552886051,1688793,1
2024-09-06,4381.3896484375,4442.5380843769135,4364.922878569025,4398.299001148173,1649179,1
2024-09-09,4374.3115234375,4414.323511430997,4355.583835509166,4379.669560364144,1184938,1
2024-09-10,4431.6259765625,4463.183287374054,4365.365752381657,4367.331933989544,1385591,1
2024-09-11,4403.60791015625,4472.42426676839,4395.644778600455,4444.99612920937,1325919,1
2024-09-12,4441.3095703125,4455.957527462176,4356.370139812065,4433.985351725256,2742216,1
2024-09-13,4446.1259765625,4470.113292994115,4428.823484701669,4453.400751542411,1458786,1
2024-09-16,4436.93408203125,4469.179264837861,4418.452168963395,4450.4515790960995,1155120,1
2024-09-17,4429.46240234375,4459.102490180248,4390.482953097841,4436.933987476228,1699364,1
2024-09-18,4272.65966796875,4421.007962696659,4247.935032184893,4421.007962696659,2961779,1
2024-09-19,4223.5048828125,4347.4237496898,4209.397435703417,4315.817000652729,2927551,1
2024-09-20,4212.44482421875,4257.470661802116,4156.015519672725,4243.903723480614,5447908,1
2024-09-23,4196.32275390625,4236.531068498641,4181.084847689653,4227.290111701271,1702319,1
2024-09-24,4199.07470703125,4218.441783949969,4168.3041631199885,4179.757072657581,3012026,1
2024-09-25,4202.46728515625,4217.066279151633,4168.3048807678815,4180.4461478288495,2713073,1
2024-09-26,4219.91650390625,4243.805414061749,4187.966058623326,4187.966058623326,3964251,1
2024-09-27,4235.84326171875,4303.971257963029,4227.339142801401,4261.698356160286,3012477,1
2024-09-30,4196.32275390625,4226.061248296706,4188.015445281488,4214.411527216484,2503416,1
2024-10-01,4215.39453125,4223.111889276909,4171.204892145493,4183.591450988956,1823365,1
2024-10-03,4161.177734375,4206.645685521381,4138.812417865159,4190.523091822548,3350119,1
